Model Year,Division,Carline,Eng Displ CC,Displacement in CC,# Cyl,Transmission,City FE Combined,Highway FE Combined,City and Highway Mileage,Aspiration,Trans,Trans Desc,# Gears,Lockup Torque Converter,Drive Sys,Drive Desc,Range1 - Model Type Driving Range - Conventional Fuel,Fuel Usage  - Conventional Fuel,Fuel Usage Desc - Conventional Fuel,Annual Fuel Cost,EPA Calculated Annual Fuel Cost - Conventional Fuel -----  Annual fuel cost error. Please revise Verify. ,Descriptor - Model Type (40 Char or less),Intake Valves Per Cyl,Exhaust Valves Per Cyl,Carline Class,Carline Class Desc,Car/Truck Category - Cash for Clunkers Bill.,Calc Approach Desc,Release Date,EPA FE Label Dataset ID,,Unique Label?,Label Recalc?,Relabel,Relabel Desc,Suppressed?,Police/Emerg?,Comments - Mfr Eng Cnfg,Cyl Deact?,Cyl Deact Desc,Var Valve Timing?,Var Valve Timing Desc,Var Valve Lift?,Var Valve Lift Desc,Fuel Metering Sys Cd,Fuel Metering Sys Desc,Fuel Cell Vehicle (Y or N),Off Board Charge Capable (Y or N),Camless Valvetrain (Y or N),Oil Viscosity,Stop/Start System (Engine Management System) Code,Stop/Start System (Engine Management System)  Description,Model Type Desc (MFR entered),5 Year Fuel Costs Excess,City CO2,Hwy CO2,Comb CO2 Rounded 
2018,KIA MOTORS CORPORATION,Niro FE,1.6,1600,4,Auto(AM6),52,49,50,Naturally Aspirated,AM,Automated Manual,6,N,F,"2-Wheel Drive, Front",,G,Gasoline (Regular Unleaded Recommended),700,700,SIDI; ,2,2,7,Small Station Wagons,car,Vehicle Specific 5-cycle label,10/13/2017,22955,,Y,N,,,N,N,,N,,Y,APPLY VVT,N,,GDI,Spark Ignition Direct Injection,N,N,N,SAE 0W-20 API SN,Y,Yes,,,171,184,177
2018,KIA MOTORS CORPORATION,Niro Touring,1.6,1600,4,Auto(AM6),46,40,43,Naturally Aspirated,AM,Automated Manual,6,N,F,"2-Wheel Drive, Front",,G,Gasoline (Regular Unleaded Recommended),850,850,SIDI; ,2,2,7,Small Station Wagons,car,Vehicle Specific 5-cycle label,10/13/2017,22956,,Y,N,,,N,N,,N,,Y,APPLY VVT,N,,GDI,Spark Ignition Direct Injection,N,N,N,SAE 0W-20 API SN,Y,Yes,,,195,222,207
2018,KIA MOTORS CORPORATION,Optima Hybrid,2,2000,4,Auto(AM6),39,46,42,Naturally Aspirated,AM,Automated Manual,6,N,F,"2-Wheel Drive, Front",,G,Gasoline (Regular Unleaded Recommended),850,850,SIDI; ,2,2,5,Midsize Cars,car,Vehicle Specific 5-cycle label,11/1/2017,23005,,N,N,,,N,N,,N,,Y,APPLY VVT,N,,GDI,Spark Ignition Direct Injection,N,N,N,SAE 5W-20 GF4,Y,Yes,,,228,194,212
2018,KIA MOTORS CORPORATION,Cadenza,3.3,3300,6,Auto(S8),20,28,23,Naturally Aspirated,SA,Semi-Automatic,8,Y,F,"2-Wheel Drive, Front",,G,Gasoline (Regular Unleaded Recommended),1550,1550,SIDI; ,2,2,6,Large Cars,car,Derived 5-cycle label,11/17/2017,23092,,N,N,,,N,N,,N,,Y,APPLY VVT,N,,GDI,Spark Ignition Direct Injection,,,N,5W30 ACEA A5,N,No,,1000,434,320,383
2018,KIA MOTORS CORPORATION,Optima S,2.4,2400,4,Auto(S6),23,32,26,Naturally Aspirated,SA,Semi-Automatic,6,Y,F,"2-Wheel Drive, Front",,G,Gasoline (Regular Unleaded Recommended),1400,1400,SIDI; ,2,2,6,Large Cars,car,Derived 5-cycle label,12/26/2017,23159,,Y,N,,,N,N,,N,,Y,APPLY VVT,N,,GDI,Spark Ignition Direct Injection,,,N,5W20 GF4,N,No,,250,393,275,340
2018,Koenigsegg Automotive AG,Agera RS,5,5000,8,Auto(A7),11,18,13,Turbocharged,A,Automatic,7,Y,R,"2-Wheel Drive, Rear",,GP,Gasoline (Premium Unleaded Recommended),3250,3250,,2,2,1,Two Seaters,car,Vehicle Specific 5-cycle label,12/20/2017,23152,,N,N,,,N,N,,N,,N,,N,,MFI,Multipoint/sequential fuel injection,N,N,N,5w-50,N,No,,9500,791,485,654
2018,Lotus Cars Ltd,Evora,3.5,3500,6,Manual(M6),16,24,19,Supercharged,M,Manual,6,N,R,"2-Wheel Drive, Rear",,GP,Gasoline (Premium Unleaded Recommended),2200,2200,,2,2,2,Minicompact Cars,car,Vehicle Specific 5-cycle label,12/1/2017,25095,,,N,,,N,N,"The 2GR engine is a proven Toyota engine, in use on such vehicles as the US specification Toyota Camry. Lotus has previously used Toyota powertrains & found both reliability & emissions durability to be excellent. This engine does not feature any new, unproven technology.",N,,Y,VVT mechanisms are on the inlet & exhaust camshafts for both engine banks. The system changes inlet & exhaust valve timing over the entire speed range in accordance to engine speed & load.,N,,MFI,Multipoint/sequential fuel injection,,,N,0W-40,N,No,Evora 400,4250,545,373,468
2018,Lotus Cars Ltd,Evora,3.5,3500,6,Auto(S6),17,24,20,Supercharged,SA,Semi-Automatic,6,Y,R,"2-Wheel Drive, Rear",,GP,Gasoline (Premium Unleaded Recommended),2100,2100,,2,2,2,Minicompact Cars,car,Vehicle Specific 5-cycle label,12/1/2017,25094,,,N,,,N,N,"The 2GR engine is a proven Toyota engine, in use on such vehicles as the US specification Toyota Camry. Lotus has previously used Toyota powertrains & found both reliability & emissions durability to be excellent. This engine does not feature any new, unproven technology.",N,,Y,VVT mechanisms are on the inlet & exhaust camshafts for both engine banks. The system changes inlet & exhaust valve timing over the entire speed range in accordance to engine speed & load.,N,,MFI,Multipoint/sequential fuel injection,,,N,0W-40,N,No,Evora 400,3750,525,362,451
2018,MASERATI,GRANTURISMO,4.7,4700,8,Auto(A6),13,21,16,Naturally Aspirated,A,Automatic,6,Y,R,"2-Wheel Drive, Rear",,GPR,Gasoline (Premium Unleaded Required),2600,2600,,2,2,3,Subcompact Cars,car,Derived 5-cycle label,5/10/2017,21757,,Y,N,,,N,N,See application for details. This variant has 454 hp.,N,Not Applicable.,Y,Variable camshaft timing for exhaust and inlet.,N,Not Applicable.,MFI,Multipoint/sequential fuel injection,N,,N,SAE 5W/40 API SL/CF,N,No,,6250,686,432,572
2018,MASERATI,GRANTURISMO CONVERTIBLE,4.7,4700,8,Auto(A6),13,20,15,Naturally Aspirated,A,Automatic,6,Y,R,"2-Wheel Drive, Rear",,GPR,Gasoline (Premium Unleaded Required),2800,2800,,2,2,3,Subcompact Cars,car,Derived 5-cycle label,5/10/2017,21758,,Y,N,,,N,N,See application for details. This variant has 444 hp.,N,Not Applicable.,Y,Variable camshaft timing for exhaust and inlet.,N,Not Applicable.,MFI,Multipoint/sequential fuel injection,N,,N,SAE 5W/40 API SL/CF,N,No,,7250,693,435,577
2018,MASERATI,QUATTROPORTE V8,3.8,3800,8,Auto(A8),15,22,17,Turbocharged,A,Automatic,8,Y,R,"2-Wheel Drive, Rear",,GPR,Gasoline (Premium Unleaded Required),2450,2450,SIDI; ,2,2,6,Large Cars,car,Derived 5-cycle label,5/8/2017,21770,,Y,N,,,N,N,This variant has 523 hp.,N,Not Applicable.,Y,Variable camshaft timing for exhaust and inlet.,N,Not Applicable.,GDI,Spark Ignition Direct Injection,N,,N,SAE 5W/40 API SL/CF,N,No,,5500,607,408,517
2018,MASERATI,QUATTROPORTE SQ4 V6,3,3000,6,Auto(A8),16,23,18,Turbocharged,A,Automatic,8,Y,A,All Wheel Drive,,GPR,Gasoline (Premium Unleaded Required),2350,2350,SIDI; ,2,2,6,Large Cars,car,Derived 5-cycle label,5/10/2017,21769,,Y,N,,,N,N,This variant has 424 hp.,N,Not Applicable.,Y,Variable camshaft timing for exhaust and inlet.,N,Not Applicable.,GDI,Spark Ignition Direct Injection,N,,N,SAE 5W/40 API SL/CF,N,No,,5000,565,387,485
2018,MASERATI,Ghibli V6 SQ4 AWD,3,3000,6,Auto(A8),16,24,19,Turbocharged,A,Automatic,8,Y,A,All Wheel Drive,,GPR,Gasoline (Premium Unleaded Required),2200,2200,SIDI; ,2,2,5,Midsize Cars,car,Derived 5-cycle label,5/10/2017,21768,,Y,N,,,N,N,This variant has 424 hp.,N,Not Applicable.,Y,Variable camshaft timing for exhaust and inlet.,N,Not Applicable.,GDI,Spark Ignition Direct Injection,N,,N,SAE 5W/40 API SL/CF,N,No,,4250,556,375,475
2018,MASERATI,Ghibli V6 Rear Wheel Drive (RWD),3,3000,6,Auto(A8),17,24,19,Turbocharged,A,Automatic,8,Y,R,"2-Wheel Drive, Rear",,GPR,Gasoline (Premium Unleaded Required),2200,2200,SIDI; ,2,2,5,Midsize Cars,car,Derived 5-cycle label,5/10/2017,21767,,Y,N,,,N,N,This variant has 424 hp.,N,Not Applicable.,Y,Variable camshaft timing for exhaust and inlet.,N,Not Applicable.,GDI,Spark Ignition Direct Injection,N,,N,SAE 5W/40 API SL/CF,N,No,,4250,533,371,460
2018,MASERATI,QUATTROPORTE S,3,3000,6,Auto(A8),16,23,18,Turbocharged,A,Automatic,8,Y,R,"2-Wheel Drive, Rear",,GPR,Gasoline (Premium Unleaded Required),2350,2350,SIDI; ,2,2,6,Large Cars,car,Derived 5-cycle label,5/10/2017,21766,,Y,N,,,N,N,This variant has 424 hp.,N,Not Applicable.,Y,Variable camshaft timing for exhaust and inlet.,N,Not Applicable.,GDI,Spark Ignition Direct Injection,N,,N,SAE 5W/40 API SL/CF,N,No,,5000,560,388,482
2018,MASERATI,Ghibli  S RWD,3,3000,6,Auto(A8),16,24,19,Turbocharged,A,Automatic,8,Y,R,"2-Wheel Drive, Rear",,GPR,Gasoline (Premium Unleaded Required),2200,2200,SIDI; ,2,2,5,Midsize Cars,car,Derived 5-cycle label,5/10/2017,21762,,Y,N,,,N,N,This variant has 424 hp.,N,Not Applicable.,Y,Variable camshaft timing for exhaust and inlet.,N,Not Applicable.,GDI,Spark Ignition Direct Injection,N,,N,SAE 5W/40 API SL/CF,N,No,,4250,547,379,471
2018,MASERATI,LEVANTE S,3,3000,6,Auto(A8),14,19,16,Turbocharged,A,Automatic,8,Y,A,All Wheel Drive,,GPR,Gasoline (Premium Unleaded Required),2600,,SIDI; ,2,2,33,Standard SUV 4WD,,Derived 5-cycle label,5/10/2017,21761,,Y,N,,,N,N,This variant has 424 hp.,N,Not Applicable.,Y,Variable camshaft timing for exhaust and inlet.,N,Not Applicable.,GDI,Spark Ignition Direct Injection,N,,N,SAE 5W/40 API SL/CF,N,No,,6250,633,465,557
2018,MASERATI,LEVANTE,3,3000,6,Auto(A8),14,20,16,Turbocharged,A,Automatic,8,Y,A,All Wheel Drive,,GPR,Gasoline (Premium Unleaded Required),2600,,SIDI; ,2,2,33,Standard SUV 4WD,,Derived 5-cycle label,5/10/2017,21759,,Y,N,,,N,N,This variant has 424 hp.,N,Not Applicable.,Y,Variable camshaft timing for exhaust and inlet.,N,Not Applicable.,GDI,Spark Ignition Direct Injection,N,,N,SAE 5W/40 API SL/CF,N,No,,6250,625,454,548
2018,MAZDA,MAZDA2,1.5,1500,4,Manual(M6),30,39,34,Naturally Aspirated,M,Manual,6,N,F,"2-Wheel Drive, Front",,G,Gasoline (Regular Unleaded Recommended),1050,1050,SIDI; ,2,2,4,Compact Cars,car,Derived 5-cycle label,10/1/2017,21729,,N,N,,,N,N,,N,,Y,This technology optimizes the valve timing by using computer control to continuously switch the intake valve opening/closing timing according to driving conditions.,N,,GDI,Spark Ignition Direct Injection,,,N,GF-5 0W-20,N,No,,,294,226,264
2018,MAZDA,MAZDA2,1.5,1500,4,Auto(S6),32,40,35,Naturally Aspirated,SA,Semi-Automatic,6,Y,F,"2-Wheel Drive, Front",,G,Gasoline (Regular Unleaded Recommended),1050,1050,SIDI; ,2,2,4,Compact Cars,car,Derived 5-cycle label,10/1/2017,21730,,N,N,,,N,N,,N,,Y,This technology optimizes the valve timing by using computer control to continuously switch the intake valve opening/closing timing according to driving conditions.,N,,GDI,Spark Ignition Direct Injection,,,N,GF-5 0W-20,N,No,,,275,223,252
2018,MAZDA,MAZDA3 4-Door,2,2000,4,Manual(M6),28,38,31,Naturally Aspirated,M,Manual,6,N,F,"2-Wheel Drive, Front",,G,Gasoline (Regular Unleaded Recommended),1150,1150,SIDI; ,2,2,4,Compact Cars,car,Derived 5-cycle label,7/1/2017,21825,,Y,N,,,N,N,,N,,Y,This technology optimizes the valve timing by using computer control to continuously switch the intake and exhaust valve opening/closing timing according to driving conditions.,N,,GDI,Spark Ignition Direct Injection,,,N,GF5 0W-20,N,No,,,319,234,281
2018,MAZDA,MAZDA3 4-Door,2,2000,4,Auto(S6),28,37,31,Naturally Aspirated,SA,Semi-Automatic,6,Y,F,"2-Wheel Drive, Front",,G,Gasoline (Regular Unleaded Recommended),1150,1150,SIDI; ,2,2,4,Compact Cars,car,Derived 5-cycle label,7/1/2017,21826,,Y,N,,,N,N,,N,,Y,This technology optimizes the valve timing by using computer control to continuously switch the intake and exhaust valve opening/closing timing according to driving conditions.,N,,GDI,Spark Ignition Direct Injection,,,N,GF5 0W-20,N,No,,,318,241,283
2018,MAZDA,MAZDA3 5-Door,2,2000,4,Manual(M6),27,37,31,Naturally Aspirated,M,Manual,6,N,F,"2-Wheel Drive, Front",,G,Gasoline (Regular Unleaded Recommended),1150,1150,SIDI; ,2,2,5,Midsize Cars,car,Derived 5-cycle label,7/1/2017,21827,,Y,N,,,N,N,,N,,Y,This technology optimizes the valve timing by using computer control to continuously switch the intake and exhaust valve opening/closing timing according to driving conditions.,N,,GDI,Spark Ignition Direct Injection,,,N,GF5 0W-20,N,No,,,323,241,286
